metric,exp5,r1,delta,direction,metric_clean,better_delta,relative_improvement_pct
PSNR ↑,16.63,16.68,0.05,提升,PSNR,0.05000000000000071,0.3006614552014475
SSIM ↑,0.7296,0.731,0.0014,提升,SSIM,0.0013999999999999568,0.19188596491227478
LPIPS ↓,0.2564,0.2546,-0.0018,提升,LPIPS,0.0018000000000000238,0.7020280811232541
CLIP-I ↑,0.905,0.9499,0.0449,大幅提升,CLIP-I,0.04489999999999994,4.961325966850822
DINO ↑,0.8895,0.8837,-0.0058,退化,DINO,-0.005799999999999916,-0.6520517144463088
FID ↓,50.83,55.93,5.1,退化,FID,-5.100000000000001,-10.033444816053514
Score_view ↑,0.7705,0.7828,0.0123,提升,Score_view,0.012300000000000089,1.5963659961064358
Score_cons ↑,0.9709,0.9676,-0.0033,微降,Score_cons,-0.0032999999999999696,-0.3398908229477773
VIE Overall ↑,0.8649,0.8703,0.0054,提升,VIE Overall,0.00539999999999996,0.6243496357960412
